,Team,Year,Bronze,Gold,Silver
0,A North American Team,1900,4,0,0
1,Afghanistan,2008,1,0,0
2,Afghanistan,2012,1,0,0
3,Algeria,1984,2,0,0
4,Algeria,1992,1,1,0
5,Algeria,1996,1,2,0
6,Algeria,2000,3,1,1
7,Algeria,2008,1,0,1
8,Algeria,2012,0,1,0
9,Algeria,2016,0,0,2
10,Ali-Baba II,1948,5,0,0
11,Amateur Athletic Association,1900,0,5,0
12,Amstel Amsterdam,1908,4,0,0
13,Ancora,1920,0,4,0
14,Angelita,1932,0,12,0
15,Antwerpia V,1920,5,0,0
16,Aphrodite,1964,3,0,0
17,Argentina,1924,2,5,3
18,Argentina,1928,5,3,18
19,Argentina,1932,0,3,1
20,Argentina,1936,4,5,2
21,Argentina,1948,1,3,2
22,Argentina,1952,2,2,2
23,Argentina,1956,1,0,1
24,Argentina,1960,1,0,0
25,Argentina,1964,0,0,1
26,Argentina,1968,2,0,0
27,Argentina,1972,0,0,1
28,Argentina,1988,12,0,1
29,Argentina,1992,2,0,0
30,Argentina,1996,1,0,19
31,Argentina,2000,3,0,17
32,Argentina,2004,21,28,0
33,Argentina,2008,31,20,0
34,Argentina,2012,3,1,15
35,Argentina,2016,0,21,1
36,Argonaut Rowing Club,1908,6,0,0
37,Armenia,1996,0,1,1
38,Armenia,2000,1,0,0
39,Armenia,2008,6,0,0
40,Armenia,2012,2,0,1
41,Armenia,2016,0,1,3
42,Aschenbrodel,1900,0,4,4
43,Atalanta Boat Club-1,1904,0,2,0
44,Atalanta Boat Club-2,1904,0,0,2
45,Atlanta,1920,0,9,0
46,Australasia,1908,2,15,2
47,Australasia,1912,3,5,2
48,Australia,1896,0,2,0
49,Australia,1900,3,2,0
50,Australia,1904,1,0,3
51,Australia,1906,3,0,0
52,Australia,1920,1,0,6
53,Australia,1924,2,3,5
54,Australia,1928,1,1,2
55,Australia,1932,1,3,1
56,Australia,1936,1,0,0
57,Australia,1948,5,2,9
58,Australia,1952,11,7,2
59,Australia,1956,23,28,11
60,Australia,1960,11,11,24
61,Australia,1964,30,5,6
62,Australia,1968,11,5,35
63,Australia,1972,2,11,7
64,Australia,1976,8,0,15
65,Australia,1980,5,6,2
66,Australia,1984,31,7,14
67,Australia,1988,11,18,6
68,Australia,1992,16,14,27
69,Australia,1996,82,32,16
70,Australia,2000,54,58,69
71,Australia,2004,31,49,77
72,Australia,2008,76,31,42
73,Australia,2012,59,18,37
74,Australia,2016,25,23,34
75,Australia-1,1996,2,0,0
76,Australia-1,2000,0,2,0
77,Australia/Great Britain,1896,2,0,0
78,Austria,1896,2,2,1
79,Austria,1900,3,0,3
80,Austria,1904,1,1,1
81,Austria,1906,3,3,3
82,Austria,1908,1,0,0
83,Austria,1912,5,0,9
84,Austria,1924,1,0,3
85,Austria,1928,2,3,0
86,Austria,1932,3,1,1
87,Austria,1936,7,6,42
88,Austria,1948,4,2,2
89,Austria,1952,2,0,1
90,Austria,1956,4,0,0
91,Austria,1960,0,1,2
92,Austria,1968,3,0,2
93,Austria,1972,2,0,1
94,Austria,1976,1,0,0
95,Austria,1980,1,1,3
96,Austria,1984,1,1,1
97,Austria,1988,0,1,0
98,Austria,1992,0,0,6
99,Austria,1996,2,0,1
100,Austria,2000,0,3,1
101,Austria,2004,1,3,4
102,Austria,2008,2,0,1
103,Austria,2016,2,0,0
104,Azerbaijan,1996,0,0,1
105,Azerbaijan,2000,1,2,0
106,Azerbaijan,2004,4,1,0
107,Azerbaijan,2008,4,1,2
108,Azerbaijan,2012,6,2,2
109,Azerbaijan,2016,10,1,7
110,"BLO Polo Club, Rugby",1900,0,0,4
111,Baby-1,1900,1,1,0
112,"Bagatelle Polo Club, Paris",1900,4,0,0
113,Bahamas,1992,1,0,0
114,Bahamas,1996,0,0,5
115,Bahamas,2000,5,6,0
116,Bahamas,2004,1,1,0
117,Bahamas,2008,1,0,6
118,Bahamas,2012,0,4,0
119,Bahamas,2016,5,1,0
120,Bahrain,2012,1,0,0
121,Bahrain,2016,0,1,1
122,Ballerina IV,1960,3,0,0
123,Barbados,2000,1,0,0
124,Barion/Bari-2,1906,0,0,3
125,Barrenjoey,1964,0,3,0
126,Beatrijs III-1,1920,0,3,0
127,Belarus,1996,16,1,6
128,Belarus,2000,11,3,8
129,Belarus,2004,8,2,5
130,Belarus,2008,16,8,5
131,Belarus,2012,8,3,12
132,Belarus,2016,7,1,4
133,Belgium,1900,4,5,5
134,Belgium,1906,6,2,1
135,Belgium,1908,8,1,12
136,Belgium,1912,11,7,1
137,Belgium,1920,61,54,62
138,Belgium,1924,6,3,30
139,Belgium,1928,4,0,1
140,Belgium,1932,1,0,0
141,Belgium,1936,14,0,0
142,Belgium,1948,8,5,2
143,Belgium,1952,0,5,3
144,Belgium,1956,0,0,2
145,Belgium,1960,2,0,2
146,Belgium,1964,1,2,0
147,Belgium,1968,2,0,1
148,Belgium,1972,0,0,2
149,Belgium,1976,6,0,3
150,Belgium,1980,0,1,0
151,Belgium,1984,2,1,2
152,Belgium,1988,2,0,0
153,Belgium,1992,2,0,1
154,Belgium,1996,2,2,2
155,Belgium,2000,4,0,3
156,Belgium,2004,2,1,0
157,Belgium,2008,0,1,4
158,Belgium,2012,2,0,1
159,Belgium,2016,2,2,17
160,Belgium-1,1900,0,1,0
161,Bem II,1936,2,0,0
162,Bera,1924,0,5,0
163,Berliner Ruderclub,1908,2,0,0
164,Berliner Ruderverein von 1876-2,1912,9,0,0
165,Bermuda,1976,1,0,0
166,Bingo,1964,3,0,0
167,Bissbi,1932,0,4,0
168,Bluebottle,1956,3,0,0
169,Bohemia,1900,1,0,1
170,Bohemia,1906,3,0,0
171,Bohemia,1908,6,0,0
172,Bohemia/Great Britain,1900,2,0,0
173,Bona Fide,1900,0,3,0
174,Bonaparte,2008,0,1,0
175,Bonzo,1924,0,0,3
176,Boreas-2,1920,0,0,2
177,Boston Archers,1904,4,0,0
178,Botswana,2012,0,0,1
179,Brazil,1920,5,1,1
180,Brazil,1948,10,0,0
181,Brazil,1952,2,1,0
182,Brazil,1956,0,1,0
183,Brazil,1960,13,0,0
184,Brazil,1964,12,0,0
185,Brazil,1968,3,0,1
186,Brazil,1972,2,0,0
187,Brazil,1976,3,0,0
188,Brazil,1980,5,4,0
189,Brazil,1984,2,1,33
190,Brazil,1988,5,1,17
191,Brazil,1992,0,13,1
192,Brazil,1996,43,3,13
193,Brazil,2000,34,0,8
194,Brazil,2004,3,16,17
195,Brazil,2008,28,14,32
196,Brazil,2012,9,14,32
197,Brazil,2016,6,34,6
198,Brazil-1,1996,0,2,0
199,Brazil-1,2000,0,0,4
200,Brazil-1,2004,0,2,2
201,Brazil-1,2008,0,0,2
202,Brazil-1,2012,2,0,2
203,Brazil-1,2016,0,2,2
204,Brazil-2,1996,0,0,2
205,Brazil-2,2000,2,0,0
206,Brazil-2,2008,2,0,0
207,Brussels Swimming and Water Polo Club,1900,0,0,10
208,Brynhild-2,1900,0,0,1
209,Bucintoro Venezia,1906,0,8,0
210,Bucintoro Venezia-1,1906,0,3,0
211,Bulgaria,1952,1,0,0
212,Bulgaria,1956,14,1,3
213,Bulgaria,1960,3,1,3
214,Bulgaria,1964,2,3,5
215,Bulgaria,1968,3,2,21
216,Bulgaria,1972,6,6,10
217,Bulgaria,1976,18,8,13
218,Bulgaria,1980,38,8,44
219,Bulgaria,1988,17,10,14
220,Bulgaria,1992,7,3,7
221,Bulgaria,1996,6,3,12
222,Bulgaria,2000,2,5,6
223,Bulgaria,2004,14,2,1
224,Bulgaria,2008,3,1,1
225,Bulgaria,2012,1,0,1
226,Bulgaria,2016,6,0,1
227,Buraddoo,1956,3,0,0
228,Burundi,1996,0,1,0
229,Burundi,2016,0,0,1
230,Cambridge University Boat Club-2,1908,9,0,0
231,Cameroon,1968,0,0,1
232,Cameroon,1984,1,0,0
233,Cameroon,2000,0,18,0
234,Cameroon,2004,0,1,0
235,Cameroon,2008,0,1,0
236,Camille,1908,0,1,0
237,Canada,1900,1,1,0
238,Canada,1904,0,2,0
239,Canada,1906,0,1,1
240,Canada,1908,15,14,8
241,Canada,1912,3,3,2
242,Canada,1920,3,10,3
243,Canada,1924,1,0,19
244,Canada,1928,21,7,5
245,Canada,1932,20,2,7
246,Canada,1936,9,1,12
247,Canada,1948,5,0,2
248,Canada,1952,0,1,3
249,Canada,1956,5,5,9
250,Canada,1960,0,0,9
251,Canada,1964,1,2,2
252,Canada,1968,4,3,3
253,Canada,1972,9,0,2
254,Canada,1976,14,0,9
255,Canada,1984,32,19,36
256,Canada,1988,14,4,5
257,Canada,1992,12,27,5
258,Canada,1996,10,8,30
259,Canada,2000,23,4,4
260,Canada,2004,4,3,10
261,Canada,2008,11,11,13
262,Canada,2012,33,1,21
263,Canada,2016,61,4,4
264,Canada-1,1996,2,0,0
265,Caprice,1932,4,0,0
266,Carabinier-15,1900,0,1,0
267,"Central Turnverein, Chicago",1904,6,0,0
268,Century Boat Club-1,1904,0,4,0
269,Cercle de l'Aviron Roubaix-4,1900,0,5,0
270,Chicago Athletic Association,1904,0,0,5
271,Chicago Athletic Association-2,1904,0,0,11
272,Chile,1928,0,0,1
273,Chile,1952,0,0,4
274,Chile,1956,2,0,2
275,Chile,1988,0,0,1
276,Chile,2000,17,0,0
277,Chile,2004,1,3,0
278,Chile,2008,0,0,1
279,China,1984,37,24,13
280,China,1988,30,4,16
281,China,1992,15,14,41
282,China,1996,15,13,66
283,China,2000,15,31,19
284,China,2004,13,42,27
285,China,2008,49,72,49
286,China,2012,29,50,38
287,China,2016,35,44,30
288,China-1,1988,0,2,0
289,China-1,1992,0,2,4
290,China-1,1996,0,2,2
291,China-1,2000,2,2,2
292,China-1,2004,0,8,0
293,China-1,2008,4,2,4
294,China-1,2012,0,6,0
295,China-1,2016,2,2,0
296,China-2,1992,4,2,0
297,China-2,1996,2,4,2
298,China-2,2000,0,6,2
299,China-2,2004,2,2,0
300,China-2,2008,4,0,0
301,China-2,2012,0,0,2
302,Chinese Taipei,1960,0,0,1
303,Chinese Taipei,1968,1,0,0
304,Chinese Taipei,1984,1,0,0
305,Chinese Taipei,1992,0,0,20
306,Chinese Taipei,1996,0,0,1
307,Chinese Taipei,2000,4,0,1
308,Chinese Taipei,2004,3,2,4
309,Chinese Taipei,2008,4,0,0
310,Chinese Taipei,2012,1,0,1
311,Chinese Taipei,2016,4,1,0
312,Christian Brothers' College-1,1904,0,0,11
313,Chuckles,1956,2,0,0
314,Cicely-1,1900,0,1,0
315,Cincinnati Archers,1904,0,4,4
316,Clearwater,2008,1,0,0
317,Club Nautique de Lyon-2,1900,0,0,4
318,Cobweb-1,1908,0,5,0
319,Colombia,1972,2,0,1
320,Colombia,1984,0,0,1
321,Colombia,1988,1,0,0
322,Colombia,1992,1,0,0
323,Colombia,2000,0,1,0
324,Colombia,2004,2,0,0
325,Colombia,2008,1,0,1
326,Colombia,2012,4,1,3
327,Colombia,2016,3,3,2
328,Comanche,1952,0,0,2
329,Complex II,1952,0,4,0
330,Cornwall,1908,0,0,15
331,Costa Rica,1988,0,0,1
332,Costa Rica,1996,0,1,0
333,Costa Rica,2000,2,0,0
334,Cote d'Ivoire,1984,0,0,1
335,Cote d'Ivoire,2016,1,1,0
336,Crabe II-1,1900,0,0,5
337,Crabe II-4,1900,5,0,0
338,Croatia,1992,3,0,12
339,Croatia,1996,0,16,12
340,Croatia,2000,9,1,0
341,Croatia,2004,3,15,3
342,Croatia,2008,3,0,2
343,Croatia,2012,16,15,4
344,Croatia,2016,2,7,15
345,Cuba,1900,0,1,1
346,Cuba,1904,0,5,0
347,Cuba,1964,0,0,1
348,Cuba,1968,0,0,10
349,Cuba,1972,18,3,1
350,Cuba,1976,14,6,4
351,Cuba,1980,5,8,7
352,Cuba,1992,14,42,13
353,Cuba,1996,10,37,8
354,Cuba,2000,12,18,35
355,Cuba,2004,22,32,8
356,Cuba,2008,11,2,34
357,Cuba,2012,6,5,3
358,Cuba,2016,4,5,2
359,Cyprus,2012,0,0,1
360,Czech Republic,1996,4,4,3
361,Czech Republic,2000,2,2,3
362,Czech Republic,2004,4,1,6
363,Czech Republic,2008,0,3,4
364,Czech Republic,2012,6,4,2
365,Czech Republic,2016,10,1,2
366,Czech Republic-1,1996,0,0,2
367,Czech Republic-1,2000,2,0,0
368,Czech Republic-1,2004,2,0,0
369,Czech Republic-1,2012,0,0,2
370,Czech Republic-1,2016,2,0,0
371,Czechoslovakia,1920,10,0,0
372,Czechoslovakia,1924,5,1,4
373,Czechoslovakia,1928,2,2,12
374,Czechoslovakia,1932,2,1,3
375,Czechoslovakia,1936,1,5,12
376,Czechoslovakia,1948,3,14,3
377,Czechoslovakia,1952,10,11,4
378,Czechoslovakia,1956,1,1,5
379,Czechoslovakia,1960,11,4,7
380,Czechoslovakia,1964,12,5,37
381,Czechoslovakia,1968,15,7,7
382,Czechoslovakia,1972,6,2,21
383,Czechoslovakia,1976,9,2,4
384,Czechoslovakia,1980,16,17,18
385,Czechoslovakia,1988,3,3,4
386,Czechoslovakia,1992,1,4,1
387,Czechoslovakia-1,1992,0,0,2
388,Denmark,1896,3,1,2
389,Denmark,1900,2,1,3
390,Denmark,1906,1,14,19
391,Denmark,1908,3,0,14
392,Denmark,1912,28,0,46
393,Denmark,1920,1,26,44
394,Denmark,1924,3,2,6
395,Denmark,1928,4,6,1
396,Denmark,1932,4,0,7
397,Denmark,1936,3,0,3
398,Denmark,1948,24,7,17
399,Denmark,1952,5,3,1
400,Denmark,1956,1,1,1
401,Denmark,1960,4,2,12
402,Denmark,1964,4,4,1
403,Denmark,1968,6,5,6
404,Denmark,1972,0,1,0
405,Denmark,1976,5,3,0
406,Denmark,1980,2,4,2
407,Denmark,1984,10,0,3
408,Denmark,1988,3,3,1
409,Denmark,1992,9,3,2
410,Denmark,1996,1,21,1
411,Denmark,2000,4,18,3
412,Denmark,2004,7,19,1
413,Denmark,2008,3,6,7
414,Denmark,2012,6,3,5
415,Denmark,2016,16,15,10
416,Denmark-1,2012,2,0,0
417,Denmark-2,2004,2,0,0
418,Denmark/Sweden,1900,0,6,0
419,Deutscher Schwimm Verband Berlin,1900,0,4,0
420,Devon and Somerset Wanderers,1900,0,12,0
421,Digby,2008,1,0,0
422,Djibouti,1988,1,0,0
423,Djinn,1948,0,0,5
424,Dominican Republic,1984,1,0,0
425,Dominican Republic,2004,0,1,0
426,Dominican Republic,2008,0,1,1
427,Dominican Republic,2012,0,1,1
428,Dominican Republic,2016,1,0,0
429,Don Schufro,2008,1,0,0
430,Dormy-1,1908,0,3,0
431,East Germany,1968,19,13,20
432,East Germany,1972,57,28,64
433,East Germany,1976,42,102,51
434,East Germany,1980,61,115,88
435,East Germany,1988,48,79,54
436,East Germany-1,1972,0,2,0
437,Ecuador,1996,0,1,0
438,Ecuador,2008,0,0,1
439,Edelweiss II-1,1920,0,3,0
440,Egypt,1928,1,2,1
441,Egypt,1936,2,2,1
442,Egypt,1948,1,2,2
443,Egypt,1952,1,0,0
444,Egypt,1984,0,0,1
445,Egypt,2004,3,1,1
446,Egypt,2008,1,0,0
447,Egypt,2012,0,0,2
448,Egypt,2016,3,0,0
449,Eleda,1920,0,7,0
450,Elisabeth V,1924,0,3,0
451,Elisabeth X,1952,0,0,5
452,Elsie,1920,0,0,4
453,Elvis Va,2008,0,1,0
454,Emily,1924,0,0,5
455,Encore,1952,0,0,3
456,England,1912,0,0,1
457,England-1,1908,0,11,0
458,England-1,1912,0,0,12
459,Eritrea,2004,1,0,0
460,Erna Signe,1912,0,0,10
461,Espadarte,1952,2,0,0
462,Esterel-1,1900,0,2,0
463,Estonia,1920,0,1,2
464,Estonia,1924,4,1,1
465,Estonia,1928,1,2,1
466,Estonia,1936,3,2,2
467,Estonia,1992,2,1,0
468,Estonia,2000,2,1,0
469,Estonia,2004,2,0,1
470,Estonia,2008,0,1,2
471,Estonia,2012,1,0,1
472,Estonia,2016,4,0,0
473,Ethiopia,1960,0,1,0
474,Ethiopia,1964,0,1,0
475,Ethiopia,1968,0,1,1
476,Ethiopia,1972,2,0,0
477,Ethiopia,1980,2,2,0
478,Ethiopia,1992,2,1,0
479,Ethiopia,1996,1,2,0
480,Ethiopia,2000,3,4,1
481,Ethiopia,2004,2,2,3
482,Ethiopia,2008,2,4,1
483,Ethiopia,2012,3,3,1
484,Ethiopia,2016,5,1,2
485,Ethnikos Gymnastikos Syllogos,1896,2,0,0
486,Falcon IV,1956,0,0,2
487,Fantlet-7,1900,0,1,0
488,Favorite Hammonia-3,1900,6,0,0
489,Favorite-1,1900,0,0,8
490,Femur-1,1900,0,1,0
491,Fiji,2016,0,13,0
492,Finland,1906,1,2,1
493,Finland,1908,28,1,1
494,Finland,1912,10,9,33
495,Finland,1920,17,21,14
496,Finland,1924,15,24,13
497,Finland,1928,9,8,8
498,Finland,1932,16,5,8
499,Finland,1936,13,8,6
500,Finland,1948,8,17,8
501,Finland,1952,24,8,3
502,Finland,1956,22,3,1
503,Finland,1960,4,1,1
504,Finland,1964,2,3,0
505,Finland,1968,1,1,2
506,Finland,1972,6,3,1
507,Finland,1976,0,4,2
508,Finland,1980,5,3,1
509,Finland,1984,6,4,2
510,Finland,1988,2,1,1
511,Finland,1992,2,1,4
512,Finland,1996,1,1,2
513,Finland,2000,1,3,1
514,Finland,2004,0,0,2
515,Finland,2008,2,1,2
516,Finland,2012,4,0,1
517,Finland,2016,1,0,0
518,Formosa,1900,1,0,0
519,Fornebo,1920,0,0,4
520,Foxhunters Hurlingham,1900,0,5,0
521,France,1896,2,5,4
522,France,1900,26,22,27
523,France,1904,0,0,1
524,France,1906,17,20,8
525,France,1908,20,11,5
526,France,1912,5,7,11
527,France,1920,55,11,68
528,France,1924,15,37,49
529,France,1928,14,6,24
530,France,1932,6,26,8
531,France,1936,18,13,13
532,France,1948,24,26,22
533,France,1952,17,14,9
534,France,1956,13,7,13
535,France,1960,6,0,6
536,France,1964,17,1,13
537,France,1968,10,12,5
538,France,1972,15,2,5
539,France,1976,8,5,7
540,France,1980,6,18,5
541,France,1984,31,20,16
542,France,1988,13,12,4
543,France,1992,41,9,5
544,France,1996,20,19,10
545,France,2000,12,22,30
546,France,2004,22,21,10
547,France,2008,28,25,24
548,France,2012,20,30,28
549,France,2016,21,20,55
550,France-1,1900,3,0,1
551,France-1,1924,0,0,2
552,France-1,1992,2,0,0
553,France-1,1996,0,2,0
554,France-1,2000,2,0,0
555,France-1,2012,0,0,2
556,France-2,1924,2,0,0
557,France-2,2012,2,0,0
558,France-3,1920,2,2,0
559,France/Great Britain,1900,0,0,2
560,Frankfurt Club,1900,0,0,15
561,Frimousse,1900,1,0,0
562,Gabon,2012,0,0,1
563,Gallant,1932,0,0,5
564,Gallia II,1912,7,0,0
565,Galt Football Club,1904,0,13,0
566,Gem,1964,0,2,0
567,Gem IV,1956,2,0,0
568,Georgia,1996,2,0,0
569,Georgia,2000,6,0,0
570,Georgia,2004,0,2,2
571,Georgia,2008,3,3,0
572,Georgia,2012,3,1,3
573,Georgia,2016,4,2,1
574,Germania II,1936,6,0,0
575,"Germania Ruder Club, Hamburg-2",1900,0,5,0
576,Germany,1896,2,24,5
577,Germany,1900,0,1,1
578,Germany,1904,6,4,5
579,Germany,1906,6,14,10
580,Germany,1908,4,4,11
581,Germany,1912,14,6,19
582,Germany,1928,41,21,15
